iter	Passed	Remaining
400	24015	5929
401	24076	5869
402	24139	5810
403	24203	5751
404	24275	5694
405	24341	5635
406	24403	5576
407	24471	5517
408	24531	5458
409	24595	5398
410	24656	5339
411	24714	5278
412	24776	5219
413	24838	5159
414	24899	5099
415	24960	5040
416	25022	4980
417	25083	4920
418	25145	4860
419	25209	4801
420	25281	4743
421	25346	4684
422	25409	4625
423	25473	4566
424	25540	4507
425	25605	4447
426	25668	4388
427	25734	4329
428	25792	4268
429	25850	4208
430	25908	4147
431	25965	4087
432	26027	4027
433	26091	3967
434	26154	3908
435	26214	3848
436	26270	3787
437	26412	3738
438	26510	3683
439	26576	3624
440	26645	3564
441	26714	3505
442	26777	3445
443	26839	3385
444	26902	3325
445	26967	3265
446	27027	3204
447	27092	3144
448	27153	3084
449	27216	3024
450	27281	2964
451	27346	2904
452	27416	2844
453	27479	2784
454	27544	2724
455	27606	2663
456	27666	2603
457	27730	2542
458	27795	2482
459	27859	2422
460	27923	2362
461	27982	2301
462	28042	2241
463	28105	2180
464	28169	2120
465	28231	2059
466	28296	1999
467	28358	1939
468	28417	1878
469	28478	1817
470	28544	1757
471	28607	1697
472	28670	1636
473	28728	1575
474	28792	1515
475	28848	1454
476	28906	1393
477	28971	1333
478	29030	1272
479	29090	1212
480	29152	1151
481	29211	1090
482	29277	1030
483	29346	970
484	29414	909
485	29480	849
486	29542	788
487	29603	727
488	29665	667
489	29732	606
490	29797	546
491	29855	485
492	29919	424
493	29982	364
494	30041	303
495	30103	242
496	30170	182
497	30239	121
498	30301	60
499	30358	0
