iter	Logloss
0	0.6598535013
1	0.6333209161
2	0.6096401292
3	0.5887141858
4	0.5705079375
5	0.5534150121
6	0.5400382258
7	0.5277533314
8	0.5169086583
9	0.5040420482
10	0.4954313663
11	0.4859820093
12	0.478030884
13	0.4711771459
14	0.4641755289
15	0.459117471
16	0.4532395919
17	0.449653344
18	0.444606115
19	0.4415731127
20	0.4387018508
21	0.4349856926
22	0.4326587193
23	0.4294043737
24	0.4267017072
25	0.4245635032
26	0.4221968069
27	0.4192733063
28	0.4168100504
29	0.4155945213
30	0.4139892333
31	0.4128529152
32	0.4107160423
33	0.4092808753
34	0.4078560419
35	0.4063925437
36	0.4058637721
37	0.4050590472
38	0.4032493608
39	0.4020717116
40	0.4011034024
41	0.4008867881
42	0.3990869108
43	0.3978675105
44	0.3977769233
45	0.396637895
46	0.3959370245
47	0.394862121
48	0.394093027
49	0.3937360682
50	0.3931205605
51	0.3920403074
52	0.3913599167
53	0.3912702055
54	0.3906836952
55	0.3905881267
56	0.3895620076
57	0.3893921145
58	0.3893004244
59	0.3877543781
60	0.3876250902
61	0.3873042981
62	0.3863482145
63	0.3853002874
64	0.3844259584
65	0.3841619988
66	0.3840101066
67	0.3829224297
68	0.3823665541
69	0.3819910017
70	0.3814455319
71	0.3812084223
72	0.3810924072
73	0.3809344254
74	0.3804449772
75	0.3804449536
76	0.3801040081
77	0.3798318149
78	0.3797464732
79	0.3791105185
80	0.3779236134
81	0.377421894
82	0.3770029088
83	0.3764679078
84	0.3764493618
85	0.3763950215
86	0.3757136514
87	0.3755549774
88	0.3752368767
89	0.3745508682
90	0.3738072483
91	0.3728607905
92	0.3720118414
93	0.3716776404
94	0.3713990782
95	0.370664302
96	0.3703329338
97	0.3700792575
98	0.3692808625
99	0.369276212
100	0.3690345948
101	0.3690343814
102	0.3686554045
103	0.3685512927
104	0.368506324
105	0.3677464063
106	0.3676880443
107	0.3676714247
108	0.3676712425
109	0.3676601506
110	0.3668198985
111	0.3667430283
112	0.3667012193
113	0.3660667336
114	0.365693416
115	0.3656724224
116	0.3651503571
117	0.3648494181
118	0.3645544894
119	0.3645469785
120	0.364529065
121	0.3633282544
122	0.3632659367
123	0.3629624632
124	0.3628809914
125	0.3628809074
126	0.3625386231
127	0.3623378964
128	0.3618097582
129	0.361610405
130	0.3611135169
131	0.361106559
132	0.3602778167
133	0.3599702536
134	0.359819826
135	0.3593730486
136	0.3593589384
137	0.3592040008
138	0.3592038304
139	0.3589524615
140	0.3588476385
141	0.3585056006
142	0.3579266499
143	0.357705046
144	0.3576955928
145	0.3573080283
146	0.3571166526
147	0.3570181338
148	0.356811749
149	0.3565538555
150	0.3565530763
151	0.356389483
152	0.3562295968
153	0.3562287555
154	0.3559032789
155	0.3554710764
156	0.355121032
157	0.3548035128
158	0.3547646763
159	0.3543178966
160	0.353741402
161	0.3531672772
162	0.3525993566
163	0.3524283252
164	0.3523928502
165	0.3523030277
166	0.3522636938
167	0.3511004404
168	0.3504125205
169	0.3499565995
170	0.3495710331
171	0.3493693574
172	0.3492284909
173	0.3490382222
174	0.3482030822
175	0.3478765964
176	0.3478744719
177	0.347727906
178	0.347204599
179	0.3469467195
180	0.3466776925
181	0.3464215467
182	0.3457734779
183	0.345585725
184	0.3451091585
185	0.3448274614
186	0.3444483646
187	0.3433910254
188	0.3429127118
189	0.3427900209
190	0.3423651452
191	0.3410536185
192	0.3408853184
193	0.3404587357
194	0.34021041
195	0.3392268688
196	0.3384781721
197	0.337812892
198	0.3373478628
199	0.3362721937
200	0.3361279681
201	0.3360468381
202	0.3351744863
203	0.3350797517
204	0.3349748506
205	0.3345410166
206	0.3342554639
207	0.3338198398
208	0.3337707479
209	0.333657702
210	0.3333092989
211	0.3330040319
212	0.3326386807
213	0.3325930275
214	0.3323642241
215	0.3320162125
216	0.3305866519
217	0.3299012427
218	0.3298254175
219	0.3296269593
220	0.3291478379
221	0.328909521
222	0.3285129889
223	0.3283201306
224	0.3275667421
225	0.3270676942
226	0.3268732008
227	0.3265374446
228	0.3260854812
229	0.325556194
230	0.3254408934
231	0.3251997382
232	0.3248411777
233	0.3245562108
234	0.3241897471
235	0.3239525796
236	0.3235375572
237	0.3234098868
238	0.322995704
239	0.3228259346
240	0.3220637583
241	0.3218748353
242	0.3215796674
243	0.3213440185
244	0.3206693326
245	0.3204881825
246	0.3201465281
247	0.3199897481
248	0.3193709973
249	0.319061474
250	0.3188895021
251	0.3187835878
252	0.3184755952
253	0.3184375896
254	0.31804368
255	0.3173868775
256	0.3170289065
257	0.3165061715
258	0.3161361153
259	0.3156101888
260	0.3153736469
261	0.315200182
262	0.3145018249
263	0.3142164968
264	0.3138688805
265	0.3132307606
266	0.3128988959
267	0.3119175413
268	0.3116186809
269	0.3110691234
270	0.3107645309
271	0.3104346752
272	0.3100504479
273	0.3097989071
274	0.3094897253
275	0.3091862647
276	0.3085066543
277	0.308436026
278	0.3081591741
279	0.3080548857
280	0.3078092133
281	0.3074971848
282	0.3070140933
283	0.3066199595
284	0.3063252378
285	0.3058555284
286	0.3049321422
287	0.3047048686
288	0.3044215452
289	0.3042169951
290	0.3036942456
291	0.3031998915
292	0.3029920757
293	0.3028658939
294	0.3023547005
295	0.3017984737
296	0.3016813034
297	0.3013657486
298	0.3009866222
299	0.3005238605
300	0.3001288666
301	0.2996067418
302	0.2993089402
303	0.2992165612
304	0.2989245091
305	0.2984722994
306	0.2982950581
307	0.2973021624
308	0.297082358
309	0.2969101892
310	0.2966205908
311	0.2960972793
312	0.2955568733
313	0.29499468
314	0.2947291413
315	0.2943518499
316	0.2939741433
317	0.2935420124
318	0.2931557449
319	0.292843473
320	0.2927918436
321	0.292356782
322	0.2922764945
323	0.2919146337
324	0.2917604293
325	0.2912145396
326	0.290588971
327	0.2902584225
328	0.2900844554
329	0.289766519
330	0.2895652951
331	0.2891420228
332	0.288739079
333	0.2880961979
334	0.2879076809
335	0.2876035957
336	0.2873181889
337	0.2871151532
338	0.286742999
339	0.2864157519
340	0.2857662659
341	0.2848321372
342	0.284572991
343	0.2842695834
344	0.2838058294
345	0.2833477943
346	0.2832539646
347	0.2828148303
348	0.2823317217
349	0.2818922701
350	0.2817741509
351	0.2816982339
352	0.2813542219
353	0.2811197704
354	0.280987296
355	0.2807122996
356	0.2804265632
357	0.2802883253
358	0.2801296127
359	0.2798698266
360	0.2793160749
361	0.2791226058
362	0.2790322093
363	0.2787632488
364	0.2783544952
365	0.2781851187
366	0.2780640114
367	0.2778901928
368	0.2773468151
369	0.2767856659
370	0.2766333857
371	0.2761412942
372	0.2757383005
373	0.2754333381
374	0.2750993093
375	0.274935585
376	0.2744405378
377	0.2739899157
378	0.27348942
379	0.2731066306
380	0.2726796153
381	0.2724052678
382	0.2721394445
383	0.2718695979
384	0.2714955784
385	0.2713779624
386	0.271105619
387	0.2709391812
388	0.2707367217
389	0.2700974985
390	0.2697980216
391	0.2693783624
392	0.2692339006
393	0.2688439639
394	0.2682971736
395	0.2680131946
396	0.2678580504
397	0.2675008344
398	0.2672192617
399	0.2670228387
400	0.2665971268
401	0.2665087828
402	0.2661974934
403	0.266132312
404	0.2657259613
405	0.265603126
406	0.2648518248
407	0.2642411697
408	0.264014672
409	0.2637807735
410	0.2636290005
411	0.2632081831
412	0.2626402287
413	0.2622921143
414	0.2620812102
415	0.2618390278
416	0.2615296264
417	0.2608466177
418	0.2604017342
419	0.2597890696
420	0.25958065
421	0.2591541636
422	0.2587143643
423	0.2584185114
424	0.25819842
425	0.2578829824
426	0.2574766621
427	0.2572293396
428	0.2568753277
429	0.2564978093
430	0.2562336038
431	0.2555604907
432	0.255394676
433	0.255137507
434	0.2550475461
435	0.254945446
436	0.2547933453
437	0.2544787445
438	0.2541693025
439	0.2540730228
440	0.2538765623
441	0.2537642224
442	0.2535222423
443	0.2531954547
444	0.252717964
445	0.2525401152
446	0.2522223514
447	0.2520745667
448	0.251964619
449	0.2516708597
450	0.2514507606
451	0.2512906756
452	0.2511405659
453	0.2509036867
454	0.2507917014
455	0.2505253451
456	0.2502858312
457	0.2497287064
458	0.2494267028
459	0.2491928896
460	0.2490143246
461	0.248778025
462	0.2485715938
463	0.2482179928
464	0.2480994104
465	0.247877014
466	0.2477283358
467	0.247675193
468	0.2469080284
469	0.246422754
470	0.2460040348
471	0.2459035484
472	0.2456637124
473	0.2454753756
474	0.2453802405
475	0.2451928302
476	0.2448960761
477	0.2448050258
478	0.2446021273
479	0.2443828067
480	0.244150236
481	0.2439460063
482	0.2438633928
483	0.2437173107
484	0.2435151325
485	0.2432549532
486	0.2426791151
487	0.2424524297
488	0.2422151844
489	0.2420617748
490	0.2418388558
491	0.2416094823
492	0.2414866968
493	0.2408966022
494	0.24074592
495	0.2405843771
496	0.2402585777
497	0.2398128201
498	0.2395982395
499	0.2392335294
